individualId	sampleId	ccc_did	maf_ccc_did	maf_url
BAML-1353	BAML-13-00579		49f4a906-f552-4882-a9f0-38545c16ec1f	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/varscan/Pair_13-00578_AML_13-00579_Skin.varscan2.t.100.n.100.indel.annot.filt.maf
BAML-1283	BAML-13-00610		96eb288a-ead3-423d-8fc3-59f72e343307	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/varscan/Pair_13-00540_AML_13-00610_Skin.varscan2.t.100.n.100.snp.Somatic.hc.filter.pass.annot.filt.maf
BAML-1374	BAML-13-00614		3fbe5309-78ef-41b2-a176-c339bf33d1f3	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/mutect/Pair_13-00614_AML_14-00017_Skin.mutect.c.0.annot.filt.maf
BAML-1374	BAML-13-00614		dbccd038-a080-49e6-8793-3c95f5587768	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/varscan/Pair_13-00614_AML_14-00017_Skin.varscan2.t.100.n.100.snp.Somatic.hc.filter.pass.annot.filt.maf
BAML-1375	BAML-13-00615		29656f97-731d-4982-8ec9-170f66fb0a94	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/varscan/Pair_13-00615_AML_13-00618_Skin.varscan2.t.100.n.100.indel.annot.filt.maf
BAML-1377	BAML-13-00624		e8c0ff6b-7f83-4d77-82ce-693128a6b10c	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/varscan/Pair_13-00622_AML_13-00624_Skin.varscan2.t.100.n.100.snp.Somatic.hc.filter.pass.annot.filt.maf
BAML-1378	BAML-13-00625		4ab254eb-0ff8-4099-8382-eeb9c13e07e0	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/varscan/Pair_13-00625_AML_13-00627_Skin.varscan2.t.100.n.100.indel.annot.filt.maf
BAML-1378	BAML-13-00627		928e7fda-8169-459e-88e0-856206392c61	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/varscan/Pair_13-00625_AML_13-00627_Skin.varscan2.t.100.n.100.indel.annot.filt.maf
BAML-1343	BAML-13-00628		8e032d23-e85b-4180-aee8-128c5842f66e	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/mutect/Pair_13-00563_AML_13-00628_Skin.mutect.c.0.annot.filt.maf
BAML-1343	BAML-13-00628		c46158fc-96d6-464f-abb4-9ec99981821a	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/varscan/Pair_13-00563_AML_13-00628_Skin.varscan2.t.100.n.100.snp.Somatic.hc.filter.pass.annot.filt.maf
BAML-1368	BAML-13-00647		9ee6b203-293a-4a01-b908-e580315b19b5	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/varscan/Pair_13-00600_AML_13-00647_Skin.varscan2.t.100.n.100.indel.annot.filt.maf
BAML-1394	BAML-13-00654		68e0986b-b69a-4bb2-99a1-bff9f2e07fa5	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/varscan/Pair_13-00654_AML_14-00036_Skin.varscan2.t.100.n.100.snp.Somatic.hc.filter.pass.annot.filt.maf
BAML-1397	BAML-13-00659		5ba93b7b-cd23-4c55-83c7-82040b8b4446	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/mutect/Pair_13-00659_AML_13-00664_Skin.mutect.c.0.annot.filt.maf
BAML-1131	BAML-13-00281		6dd58de7-d982-4c2b-8417-f65367ecd977	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/mutect/Pair_13-00281_AML_13-00414_Skin.mutect.c.0.annot.filt.maf
BAML-1153	BAML-13-00331		a0931058-c2c0-4bde-9de6-2ef50b659420	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/mutect/Pair_13-00331_AML_13-00531_Skin.mutect.c.0.annot.filt.maf
BAML-1187	BAML-13-00396		84667ca6-ac73-4446-8809-7e9d73f0dcfa	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/varscan/Pair_13-00396_AML_13-00398_Skin.varscan2.t.100.n.100.snp.Somatic.hc.filter.pass.annot.filt.maf
BAML-1243	BAML-13-00487		590e5f6c-c267-42c8-8de6-19572f366248	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/mutect/Pair_13-00487_AML_13-00486_Skin.mutect.c.0.annot.filt.maf
BAML-1243	BAML-13-00487		1834846b-38bd-4bde-88dd-019c5afd9ac7	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/varscan/Pair_13-00487_AML_13-00486_Skin.varscan2.t.100.n.100.indel.annot.filt.maf
BAML-1232	BAML-13-00489		5196184c-8dc5-481c-b450-5cbbf7f6ed09	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/varscan/Pair_13-00466_AML_13-00489_Skin.varscan2.t.100.n.100.indel.annot.filt.maf
BAML-1246	BAML-13-00495		0b4cc666-2e8d-485c-8a50-3fee2ad7750b	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/varscan/Pair_13-00493_AML_13-00495_Skin.varscan2.t.100.n.100.indel.annot.filt.maf
BAML-1248	BAML-13-00500		bc089963-e586-4c1e-a17c-1d5e1c3c5376	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/mutect/Pair_13-00500_AML_13-00499_Skin.mutect.c.0.annot.filt.maf
BAML-1255	BAML-13-00520		764421c8-d6c8-4552-a03f-e79c7cae5e94	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/varscan/Pair_13-00513_AML_13-00520_Skin.varscan2.t.100.n.100.indel.annot.filt.maf
BAML-928	BAML-13-00227		05d92151-5b21-4694-a471-aaf7109f2d06	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/mutect/Pair_13-00226_AML_13-00227_Skin.mutect.c.0.annot.filt.maf
BAML-928	BAML-13-00227		a7722de2-e017-448a-9164-97194fc6977b	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/varscan/Pair_13-00226_AML_13-00227_Skin.varscan2.t.100.n.100.snp.Somatic.hc.filter.pass.annot.filt.maf
BAML-1104	BAML-13-00238		8505874b-945f-4782-9e51-1062a1e4064a	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/mutect/Pair_13-00237_AML_13-00238_Skin.mutect.c.0.annot.filt.maf
BAML-1093	BAML-13-00242		24c87bb2-1be8-4d70-a9d2-37db52031df3	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/varscan/Pair_13-00242_AML_13-00243_Skin.varscan2.t.100.n.100.indel.annot.filt.maf
BAML-1261	BAML-13-00523		8ec6781c-3210-471d-b69d-f790bc6768df	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/varscan/Pair_13-00522_AML_13-00523_Skin.varscan2.t.100.n.100.snp.Somatic.hc.filter.pass.annot.filt.maf
BAML-1281	BAML-13-00532		e94a6b91-2be9-455f-b715-74a6a6686df1	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/varscan/Pair_13-00532_AML_13-00533_Skin.varscan2.t.100.n.100.snp.Somatic.hc.filter.pass.annot.filt.maf
BAML-1281	BAML-13-00533		2a7f121b-26fc-4933-a996-47b68ad59865	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/mutect/Pair_13-00532_AML_13-00533_Skin.mutect.c.0.annot.filt.maf
BAML-1281	BAML-13-00533		37c020fd-a376-4c19-b3ef-498ada62593d	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/varscan/Pair_13-00532_AML_13-00533_Skin.varscan2.t.100.n.100.snp.Somatic.hc.filter.pass.annot.filt.maf
BAML-1286	BAML-13-00547		6e458a73-90d0-4790-8891-7cfa2f1f254c	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/varscan/Pair_13-00545_AML_13-00547_Skin.varscan2.t.100.n.100.indel.annot.filt.maf
BAML-1315	BAML-13-00552		c3f0ea25-edd1-4457-8647-af5b79739d3d	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/mutect/Pair_13-00552_AML_13-00646_Skin.mutect.c.0.annot.filt.maf
BAML-1315	BAML-13-00552		92d14cfb-77d5-4f96-9ed7-367b2d9ffe67	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/varscan/Pair_13-00552_AML_13-00646_Skin.varscan2.t.100.n.100.indel.annot.filt.maf
BAML-1341	BAML-13-00558		398eab53-d339-47ef-991a-0796231562c8	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/mutect/Pair_13-00558_AML_13-00560_Skin.mutect.c.0.annot.filt.maf
BAML-1341	BAML-13-00560		3fce64ab-0397-4877-83d4-47b71f2b5eaf	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/mutect/Pair_13-00558_AML_13-00560_Skin.mutect.c.0.annot.filt.maf
BAML-1341	BAML-13-00560		266d36c0-2159-40f6-abb2-5ee7d4bdfb4b	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/varscan/Pair_13-00558_AML_13-00560_Skin.varscan2.t.100.n.100.snp.Somatic.hc.filter.pass.annot.filt.maf
BAML-1190	BAML-13-00410		46a6efa8-00ff-4b6e-ac29-15f8d77c3d4d	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/varscan/Pair_13-00409_AML_13-00410_Skin.varscan2.t.100.n.100.snp.Somatic.hc.filter.pass.annot.filt.maf
BAML-1137	BAML-13-00415		beb7f5d2-e655-45fd-b726-a9f78e3e9aba	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/mutect/Pair_13-00286_AML_13-00415_Skin.mutect.c.0.annot.filt.maf
BAML-1194	BAML-13-00420		85e5ff4c-de97-4dc1-8a5a-bea702aa6647	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/varscan/Pair_13-00420_AML_13-00465_Skin.varscan2.t.100.n.100.indel.annot.filt.maf
BAML-1224	BAML-13-00450		0adeddda-0087-40e4-ad55-63ea715c8996	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/mutect/Pair_13-00450_AML_13-00474_Skin.mutect.c.0.annot.filt.maf
BAML-1194	BAML-13-00465		96786eae-f25d-45fc-ae71-dce993488cdf	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/varscan/Pair_13-00420_AML_13-00465_Skin.varscan2.t.100.n.100.snp.Somatic.hc.filter.pass.annot.filt.maf
BAML-1113	BAML-13-00253		281c31f5-f0ef-49d7-8d73-edb7b842fa95	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/mutect/Pair_13-00253_AML_13-00252_Skin.mutect.c.0.annot.filt.maf
BAML-1113	BAML-13-00253		1f4dfbdd-2a2d-4252-8cc6-68fca0541df7	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/varscan/Pair_13-00253_AML_13-00252_Skin.varscan2.t.100.n.100.snp.Somatic.hc.filter.pass.annot.filt.maf
BAML-1082	BAML-13-00201		7e2774ce-5aa6-4b26-93e8-9271892e1ce5	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/varscan/Pair_13-00201_AML_13-00228_Skin.varscan2.t.100.n.100.indel.annot.filt.maf
BAML-1088	BAML-13-00204		822a4c03-1ae4-4a48-b8e6-c3401146ec8c	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/mutect/Pair_13-00204_AML_13-00209_Skin.mutect.c.0.annot.filt.maf
BAML-1398	BAML-13-00663		68ba3007-9f21-4ff6-a527-ef7312974872	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/varscan/Pair_13-00660_AML_13-00663_Skin.varscan2.t.100.n.100.snp.Somatic.hc.filter.pass.annot.filt.maf
BAML-1397	BAML-13-00664		2bddca96-41ab-4fc8-b526-668345d0caf1	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/varscan/Pair_13-00659_AML_13-00664_Skin.varscan2.t.100.n.100.indel.annot.filt.maf
BAML-1397	BAML-13-00664		ec795c56-bba4-4765-ab3d-249a07d6af95	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/varscan/Pair_13-00659_AML_13-00664_Skin.varscan2.t.100.n.100.snp.Somatic.hc.filter.pass.annot.filt.maf
BAML-1400	BAML-14-00003		f4e9e3a4-a905-4db1-92d0-c7eb42acab20	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/mutect/Pair_14-00004_AML_14-00003_Skin.mutect.c.0.annot.filt.maf
BAML-1400	BAML-14-00004		847ea0de-cadb-4549-b191-b9b9645a8f6b	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/mutect/Pair_14-00004_AML_14-00003_Skin.mutect.c.0.annot.filt.maf
BAML-1406	BAML-14-00012		41625cb5-d7fc-45f6-b88f-5a22c1314909	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/mutect/Pair_14-00012_AML_14-00014_Skin.mutect.c.0.annot.filt.maf
BAML-1406	BAML-14-00012		e8806a44-1e4a-4d30-8d43-db5b66e2ce4d	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/varscan/Pair_14-00012_AML_14-00014_Skin.varscan2.t.100.n.100.indel.annot.filt.maf
BAML-1406	BAML-14-00014		a4b0118c-2c27-45da-a43c-b8553f54cc0a	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/varscan/Pair_14-00012_AML_14-00014_Skin.varscan2.t.100.n.100.indel.annot.filt.maf
BAML-1161	BAML-14-00016		df6c8f06-ce86-4ff3-bc61-8824787c3c8a	/mnt/lustre1/BeatAML/seqcap/processed/BeatAML1/variants/somatic_calls/mutect/Pair_13-00353_AML_14-00016_Skin.mutect.c.0.annot.filt.maf
